TituloReview,FechaEstadia,Calificacion,Sentimiento,Subjetividad,Categorias,Topico
"Fue muy buena la experiencia, los accesos fueron rápidos y no tuvimos que esperar para trasladarnos. Fue una gran experiencia, Obed Martínez nos ayudó mucho para comprar paquetes en los parques de Isla mujeres y eso nos facilitó el viaje.",2024-12-01,5,Positivo,Mixta,"['Transporte', 'Personal y servicio']","{'Personal y servicio': 'Tour', 'Transporte': 'Acceso peatonal a museos y playas'}"
"Personal muy cordial y servicial. Pedimos informes sobre las actividades con el trabajador de Ultramar Obed Martínez, su trato siempre fue muy cordial y muy atento. Quedamos muy complacidos con su servicio.",2024-12-01,5,Positivo,Subjetiva,['Personal y servicio'],{'Personal y servicio': 'Opiniones Diversas'}
"Cancún a Isla Murejes. Montar fue genial. Estábamos viajando con mi madre mayor y se aseguraron de que todos estuviéramos abajo, ya que hacía tanto calor en esa época del año. El viaje fue suave, AC fue fantástico.",2024-08-01,5,Positivo,Mixta,[],{}
"Muy buena atención. Excelente trato!!! Me llevé una grata sorpresa, yo tenía boletos para otra compañía y nos dieron mal el horario y perdimos  el último ferry de esa compañía y el trabajador de nombre Emmanuel Alejandro aunque no tenía boletos de su compañía me orientó de la mejor forma y me explico cómo llegar a mi destino y terminé comprando boletos con ultramar muy buen servicio y excelente trato del chico 👍🏻👍🏻.",2024-12-01,5,Positivo,Mixta,"['Transporte', 'Personal y servicio']","{'Personal y servicio': 'Ferry', 'Transporte': 'Acceso peatonal a museos y playas'}"
"Cancún a Isla Mujeres y Playa Del Carmen a Cozumel. Tuvimos una excelente experiencia con el ferry Ultramar viajando de Cancún a Isla Mujeres. Todo el proceso fue fluido y bien organizado. El personal de la taquilla era excepcional, especialmente la señora que nos ayudó. Ella fue más allá al proporcionarnos un boleto que podríamos utilizar más tarde durante nuestro viaje para otra ruta (Playa del Carmen a Cozumel), que fue increíblemente útil. En general, fue una experiencia fantástica, y recomendamos Ultramar para cualquiera que viaje entre estos destinos.",2024-11-01,5,Positivo,Mixta,"['Transporte', 'Naturaleza', 'Personal y servicio']","{'Personal y servicio': 'Opiniones Diversas', 'Transporte': 'Acceso peatonal a museos y playas', 'Naturaleza': 'Beach'}"
Queja. Tengo 1 queja grande en contra de la sra teresa de jesus en la entrada la sra despues de pasar el primer filtro me piden que pase a la fila 5 de isla mujeres a puerto juares porsterior mi esposa me dice la sra te llama y me pide k le mustrw mi boleta y se los muestro y le digo ud disculpe me mandaron a la fila 5 y me dice a y ud muy chingon se pasa le comento a la sra disculpe ?? Eso fue lo k dijo el muchacho  y ud muy chingon se pasa nuevamente  esas son formas pregunto???.,2024-12-01,5,Negativo,Mixta,"['Personal y servicio', 'Seguridad']","{'Personal y servicio': 'Ferry', 'Seguridad': 'Opiniones Diversas'}"
"Viaje a isla mujeres. Queríamos cruzar a isla mujeres y conocer su playa, nos atendió jeferson, y nos dio varias recomendaciones de que hacer en isla mujeres, tambien nos explicó bien como funcionaba el horario del ferry. Sus recomendaciones fueron de gran ayuda.",2024-11-01,5,Positivo,Mixta,"['Transporte', 'Naturaleza', 'Personal y servicio']","{'Personal y servicio': 'Opiniones Diversas', 'Transporte': 'Acceso peatonal a museos y playas', 'Naturaleza': 'Beach'}"
"¡Lo tengo caro!. Sus barcos siempre están llenos, y los precios de sus boletos se han disparado a $ 30 por persona. Los precios de las entradas son solo como $ 4 o $ 6 para los locales.",2024-11-01,3,Negativo,Mixta,['Compras'],{'Compras': 'Experiencia de compras'}
"A+ Seguridad y servicio. Viajé ida y vuelta desde el ferry Ultramar Puerto Juárez a Isla Mujeres y a mi regreso a Puerto Juárez, mi equipaje fue llevado por otra persona antes de que pudiera llegar a los portaequipajes. Estaba devastado, pensando que había sido robado y estaba perdido para siempre. Pero cada empleado de Ultramar fue tan servicial y compasivo y tan rápido para responder. El equipo de seguridad accedió rápidamente al video, encontró a la persona que (accidentalmente) tomó mi equipaje y rastreó al conductor y me devolvió el equipaje en pocas horas. Se mantuvieron en contacto conmigo y me pusieron al día, ya que tenía que salir para un vuelo y organizaron guardar mi equipaje hasta que un amigo pudiera recuperarlo para mí. Grite a los increíbles empleados y personal, especialmente David, que fueron tan servicial y servicial durante un momento muy estresante. Servicio de primera categoría y servicio al cliente!.",2024-11-01,5,Positivo,Mixta,"['Transporte', 'Personal y servicio', 'Seguridad']","{'Personal y servicio': 'Ferry', 'Transporte': 'Acceso peatonal a museos y playas', 'Seguridad': 'Opiniones Diversas'}"
"Ultramar excelente. Jeferson florez, recomendado por si requieres guía dentro de alguno de los servicios, planes, costos que brinda la empresa, un profesional en todo el sentido de la palabra.",2024-11-01,5,Positivo,Subjetiva,['Personal y servicio'],{'Personal y servicio': 'Opiniones Diversas'}
Excelente servicio. Excelente servicio de su personal en especial Jefferson Flores quien te atiende muy bien y atento hacía el cliente 👍🏼.,2024-11-01,5,Positivo,Subjetiva,['Personal y servicio'],{'Personal y servicio': 'Opiniones Diversas'}
"Gran servicio de ferry, pero no apreciamos los extras. Reservamos nuestros boletos de regreso en línea para viajar de Playa Caracol a Isla Mujeres. El billete estuvo abierto durante seis meses, así que una vez reservado se trataba de presentarse en el Puerto el día que queríamos viajar, treinta minutos antes de la navegación. El lunes 28 de octubre nos presentamos en Playa Caracol esperando coger el 10. 45 ferry. Sin embargo, como el muelle fue dañado el ferry no pudo salir de Playa Caracol. Nosotros junto con otros pasajeros tuvimos que tomar el autobús local para abordar el ferry desde Playa Tortugas. Se puso un poco confuso, aquellos pasajeros que habían reservado sus boletos desde el quiosco en el Puerto, la compañía pagó su tarifa de autobús. Como habíamos reservado en línea tuvimos que pagar nuestra propia tarifa, solo 12 pesos, aproximadamente 50 peniques, para el viaje de quince minutos. Al llegar a Playa Tortugas abordamos un ferry bastante completo, nos subimos y nos sentamos en la cubierta superior, así que no te preocupes. El ferry se deslizó suavemente lejos del muelle a las 10. 50 . Fue una travesía tranquila a la Isla donde llegamos a las 11. 20 , 30 minutos de navegación. Nuestro regreso debía partir a las 14. 15 , hubo un ligero retraso y partimos 14 . 25 llegando a Playa Tortugas a las 14. 55 La tarifa total de regreso para nosotros dos fue de $ 60. 44 dólares estadounidenses (aproximadamente 47 libras esterlinas), esto incluía los impuestos de los derechos de saneamiento ambiental y la asistencia en el extranjero. En general, el servicio era eficiente, sin problemas y los transbordadores estaban limpios, modernos y bien mantenidos. Sin embargo, hubo algunos problemas que quitaron el brillo de las cosas. Había una señora caminando arriba y abajo de la cubierta vendiendo bocadillos y bebidas frías. Pensaba que $ 10 USD por una lata de cerveza y un paquete de patatas fritas (patatas fritas) era bastante caro. Mientras caminábamos por el embarcadero, había una vieja rueda de barco, donde los pasajeros podían posar y tomar una fotografía oficial. Dos damas intentaron vender las fotos, durante la navegación, estas fueron de $ 8 USD cada una. Durante la navegación el era un tipo cantando en la cubierta superior, no era muy bueno y luego esperaba una propina. Afortunadamente no hubo canto en el viaje de regreso. Encontré que los extras eran un poco de dinero.",2024-10-01,4,Neutro,Mixta,"['Transporte', 'Naturaleza']","{'Transporte': 'Acceso peatonal a museos y playas', 'Naturaleza': 'Beach'}"
"Espectacular!. Excelente servicio! Todo salió exactamente como se planeó, las personas que colaboran en las taquillas súper amables y dispuestos a ayudar! Los horarios perfectos y el ferry súper limpio y ameno. Enrique es es mejor gracias por toda la ayuda 🙌🏻.",2024-10-01,5,Positivo,Subjetiva,"['Transporte', 'Personal y servicio']","{'Personal y servicio': 'Ferry', 'Transporte': 'Acceso peatonal a museos y playas'}"
"Excelente servicio. Excelente servicio, Enrique fue muy amable y mi amiga dejó su tarjeta y él la guardo y la devolvió! Definitivamente volveríamos a abordar con ustedes.",2024-10-01,5,Positivo,Subjetiva,['Personal y servicio'],{'Personal y servicio': 'Opiniones Diversas'}
"Excelente. Todo súper organizado, el personal fue muy amable, se nos olvidó una tarjeta de crédito en el punto de pago y muy amablemente la devolvieron, el ferry muy bonito.",2024-10-01,5,Positivo,Subjetiva,"['Transporte', 'Personal y servicio']","{'Personal y servicio': 'Ferry', 'Transporte': 'Acceso peatonal a museos y playas'}"
"Otro gran viaje en ferry!. Ultramar es siempre oportuno, limpio, y el personal es muy servicial y amable. Me encanta la música en vivo y los aperitivos también. Los manipuladores de equipaje también son agradables.",2024-10-01,5,Positivo,Subjetiva,"['Transporte', 'Vida nocturna', 'Personal y servicio']","{'Personal y servicio': 'Opiniones Diversas', 'Transporte': 'Acceso peatonal a museos y playas'}"
"¡Traiga consigo cualquier cargamento o cualquier cosa de valor DENTRO del ferry!. El servicio era genial y el personal era amable, pero NO DEJES QUE TOMEN TUS MANOS Y LAS GUARDEN! Pasarán por tus pertenencias y ROBARÁN. Mis Airpods MAX y el altavoz Bluetooth JBL fueron robados de mi bolso de mano. No sabíamos que podíamos llevar nuestras maletas dentro del ferry, ya que era la primera vez que viajábamos en ferry de Playa a Cozumel. ¡Ten cuidado! Aprendimos la lección.",2024-10-01,3,Negativo,Mixta,"['Transporte', 'Naturaleza', 'Personal y servicio', 'Seguridad']","{'Personal y servicio': 'Ferry', 'Transporte': 'Acceso peatonal a museos y playas', 'Seguridad': 'Playa con seguridad y comodidad', 'Naturaleza': 'Beach'}"
"Pésimo servicio en isla mujeres. El servicio de su personal en fila para ingresar, es pesimoSus scaner no funcionan y la actitud del personal es malísima.",2024-10-01,1,Negativo,Mixta,['Personal y servicio'],{'Personal y servicio': 'Ferry'}
"PESIMO SERVICIO DE FACTURACION. Un suplicio para poder facturar, pero denuncie al SAT y me facturaron. Es una lastima que su atención a clientes sea tan deficiente,.",2024-09-01,1,Negativo,Mixta,['Personal y servicio'],{'Personal y servicio': 'Ferry'}
"PESIMO SERVICO. CUIDADO SI NECESITAN FACTURAR POR QUE NO PODRAN HACERLOLa peor experiencia en facturación, te dicen que tienes 4 días para hacerlo en su pagina, la cual es una porquería y no te deja hacerlo. Al querer solucionarlo por teléfono, correo o whats es imposible, nadie te responde y te dejan en visto, es la ultima vez que cruzamos en estos barco, por mucho mejor los de Xcaret.",2024-09-01,1,Negativo,Mixta,['Personal y servicio'],{'Personal y servicio': 'Ferry'}
"PARQUE GARRAFON. Me encantó la experiencia y la persona que me lo vendió fue súper acertada y amable, su nombre es Marco López de ultramar ferry.",2024-09-01,5,Positivo,Mixta,"['Transporte', 'Personal y servicio']","{'Personal y servicio': 'Opiniones Diversas', 'Transporte': 'Acceso peatonal a museos y playas'}"
"Abuso en precio de ultramar playa caracol. Compren sus tickets por Internet. Al llegar a mostrador de ultramar Playa Caracol en Cancún para ir a Isla Mujeres,  aunque dice en el letrero un precio, se aumentan impuestos de los cuales no hay comprobante. Por eso no aceptan pago con tarjetas para evitar el control de ingresos.  Eso nos pasa a mexicanos, con los extranjeros han de robar más.",2024-09-01,1,Negativo,Mixta,['Seguridad'],{'Seguridad': 'Compras seguras en Cancún'}
"Promiedo la verdad no para volver. El museo la verdad  no está tan lindo y les falta mejorar muchas cosas… para empezar deberían mejorar el aire acondicionado se siente muy sofocado adentro de las salas .. ( la única zona donde había aire acondicionado era la tienda de souvenirs) y aparte muy pocas piezas en exhibición.. y solo hay 2 salas y todo lo demás es zona arqueológica… se ve que el gobierno y INAH no le meten tanto presupuesto, aunque también lo bueno es que tiene bonita fachada .. la verdad no volvería a menos de que lo mejoraran.",2025-08-01,3,Negativo,Mixta,['Historia y cultura'],{'Historia y cultura': 'Opiniones Diversas'}
"Identidad, Cultura y Patrimonio. El Museo Maya en verdad que nos muestra como fue parte del desarrollo de la civilización Maya y sus alrededores, ademas de conservarse en el tiempo. Así mismo la zona arqueologica esta realmente conservada y cuidada. Es una aventura para quienes gozan y disfrutan de la historia, la cultura y la naturaleza.",2025-07-01,5,Positivo,Subjetiva,"['Historia y cultura', 'Naturaleza']","{'Historia y cultura': 'Ruinas arqueológicas mayas', 'Naturaleza': 'Museo'}"
"Decepcionada del lugar que debería ser un referente de Cancún. Es un lugar abandonado por el gobierno, no funciona el aire acondicionado, no funciona el elevador, estructura deteriorada, no hay guías turísticos, no tiene ningún evento planeado, ni exposiciones temporales, le falta inversión y restauración , al ser una zona tan importante y turística no cumple las expectativas, lo bueno es que tiene rampas para movilizarse en silla de ruedas.",2025-07-01,1,Negativo,Mixta,"['Eventos y festivales', 'Historia y cultura']",{'Historia y cultura': 'Opiniones Diversas'}
"¡Recomiendo!. Realmente encantador museo muy barato y un montón de ruinas para ver fuera con un montón de hermosos paisajes. Si te gustan las iguanas están a la vuelta de cada esquina! Definitivamente traigo algún tipo de spray para insectos ya que tengo más de 20 picaduras por todo mí. La única cosa mala que tengo que decir sobre este lugar es que la pasarela a las ruinas tienen piedras que sobresalen del suelo, que también me tropecé y me corté el dedo del pie, así que tendría cuidado con eso. Y las habitaciones no tienen aire acondicionado, así que hace mucho calor allí.",2025-06-01,4,Positivo,Mixta,"['Historia y cultura', 'Naturaleza', 'Seguridad', 'Fauna y vida animal']","{'Historia y cultura': 'Museo temático de ruinas mayas', 'Seguridad': 'Compras seguras en Cancún', 'Naturaleza': 'Museo', 'Fauna y vida animal': 'Acuario de pequeños animales'}"
"¡Ciudad Iguana!. ¡El museo fue un descanso muy necesario de la escena festiva del hotel resort de Cancún! Disfruté de los artefactos y la información, y la caminata por la jungla/ruinas, sin embargo me perturbaron mucho las iguanas en el camino y de hecho trepé una barrera para evitar una, ¡si no te importan los lagartos salvajes, estarás bien! Se lo recomendaría a cualquiera, ya que el museo y el paseo cuestan solo 100 pesos; creo que los turistas pagarían más para mantenerlo en funcionamiento. Hay una linda tienda y si necesitas una bebida fría, el 7/11 al otro lado de la calle tiene muchas y tiene aire acondicionado.",2025-06-01,4,Positivo,Mixta,"['Alojamiento', 'Historia y cultura', 'Deportes y aventura', 'Naturaleza', 'Fauna y vida animal']","{'Alojamiento': 'Opiniones Diversas', 'Historia y cultura': 'Museo temático de ruinas mayas', 'Deportes y aventura': 'Opiniones Diversas', 'Naturaleza': 'Museo', 'Fauna y vida animal': 'Acuario de pequeños animales'}"
"Cancún-Museo de Maya y San Miguelito. El relativamente nuevo Museo de Maya y las ruinas de San Miguelito están a poca distancia - a poco menos de una milla - de la Fiesta Americana Condesa. O uno podría tomar el autobús. Lo caminamos, y tomamos un Uber de vuelta ya que se había puesto bastante caliente. El museo es bastante modesto, pero ofrece información interesante sobre la historia y la cultura maya. Desde allí contiguas -e incluidas en el precio de la entrada- se encuentran las ruinas de San Miguelito. Muchas exploraciones a pie se pueden hacer a través del bosque allí. ¡Muchas iguanas!.",2025-05-01,4,Positivo,Mixta,"['Transporte', 'Historia y cultura']","{'Historia y cultura': 'Opiniones Diversas', 'Transporte': 'Transporte marítimo en Cancun'}"
"Vale la pena una visita. Un museo muy educativo, pequeño con ruinas mayas adyacentes. Una gran manera de pasar un par de horas. Recomiendo encarecidamente una visita.",2025-05-01,5,Positivo,Subjetiva,['Historia y cultura'],{'Historia y cultura': 'Ruinas arqueológicas mayas'}
